image_id,annotation_id,class,canonical_area_px,adapter_mask_iou,adapter_geometry_type,connected_components,hole_count,matched,mask_iou,confidence,predicted_area_px,false_positive_px,false_negative_px,relative_area_error,gt_normalized_contribution,band,automatic_flags,contested_fraction,overlap_resolved_iou,false_negative_contested_share
3LUOWEww9aCx2Cx4B38y,105,person,73803,0.99050943,CANONICAL_POLYGON,1,0,True,0.910979,0.824699,74403,3752,3152,0.00813,0.910979,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.910979,0.0
6fMvy2k97BSY0a3P9Fbg,166,person,2137,0.95954023,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
6fMvy2k97BSY0a3P9Fbg,167,person,11833,0.925987625,CANONICAL_RLE,5,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
6fMvy2k97BSY0a3P9Fbg,168,person,4556,0.9657549,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
6fMvy2k97BSY0a3P9Fbg,169,person,303658,0.992607256,CANONICAL_RLE,1,1,True,0.859002,0.26097,297519,19729,25868,-0.020217,0.859002,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.859002,0.0
6fMvy2k97BSY0a3P9Fbg,170,person,301269,0.995621052,CANONICAL_RLE,3,0,True,0.802847,0.901686,371633,71975,1611,0.233559,0.802847,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.8027,0.0
6fMvy2k97BSY0a3P9Fbg,171,person,85674,0.99038495,CANONICAL_RLE,2,0,True,0.738015,0.887801,112856,28554,1372,0.317272,0.738015,MODERATE_MASK,OVERSEGMENTATION,0.0,0.738015,0.0
6fMvy2k97BSY0a3P9Fbg,172,person,30932,0.980917008,CANONICAL_RLE,1,0,True,0.892139,0.689201,32712,2704,924,0.057546,0.892139,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.892139,0.0
6fMvy2k97BSY0a3P9Fbg,173,person,17103,0.946700224,CANONICAL_RLE,2,3,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
6fMvy2k97BSY0a3P9Fbg,174,person,4707,0.968240702,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
6fMvy2k97BSY0a3P9Fbg,175,person,54266,0.987793496,CANONICAL_RLE,2,0,True,0.925548,0.954427,53634,1770,2402,-0.011646,0.925548,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.925548,0.0
6fMvy2k97BSY0a3P9Fbg,176,person,11266,0.975867797,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
6hEWEvuUeZhYU514UX1O,177,person,2094109,0.992064546,CANONICAL_RLE,1,10,True,0.414887,0.853806,1019183,106273,1181199,-0.513309,0.414887,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.0,0.414887,0.0
6lWV6Qw0w487DgkyyVX9,179,vest_on_body,143870,0.993256269,CANONICAL_POLYGON,1,0,True,0.785955,0.970099,182624,38942,188,0.269368,0.785955,HIGH_QUALITY_MASK,UNATTRIBUTED,0.997261,0.785955,0.835106
6lWV6Qw0w487DgkyyVX9,180,person,354594,0.99573114,CANONICAL_POLYGON,1,0,True,0.437448,0.913267,161562,4484,197516,-0.544375,0.437448,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.472357,0.747341,0.807732
6lWV6Qw0w487DgkyyVX9,181,helmet_on_head,24385,0.989230707,CANONICAL_POLYGON,1,0,True,0.661945,0.76594,16680,324,8029,-0.315973,0.661945,MODERATE_MASK,UNDERSEGMENTATION,0.984991,0.661945,0.98356
7VMQ21x6vDuAvoY6Ku2F,231,vest_on_body,292697,0.996457431,CANONICAL_RLE,1,0,True,0.986144,0.970284,293440,2416,1673,0.002538,0.986144,HIGH_QUALITY_MASK,UNATTRIBUTED,1.0,0.986144,1.0
7VMQ21x6vDuAvoY6Ku2F,232,person,214103,0.991589246,CANONICAL_RLE,2,0,True,0.312026,0.637973,222791,118889,110201,0.040579,0.312026,LOW_OVERLAP_MASK,BOUNDARY_ERROR,0.0,0.312026,0.0
7VMQ21x6vDuAvoY6Ku2F,233,person,58328,0.987024928,CANONICAL_RLE,1,0,True,0.822601,0.887558,57121,5015,6222,-0.020693,0.822601,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.822601,0.0
7VMQ21x6vDuAvoY6Ku2F,234,person,88396,0.988592514,CANONICAL_RLE,2,0,True,0.424706,0.323542,75005,26295,39686,-0.151489,0.424706,LOW_OVERLAP_MASK,BOUNDARY_ERROR,0.0,0.424706,0.0
7VMQ21x6vDuAvoY6Ku2F,235,person,435405,0.996476355,CANONICAL_RLE,1,0,True,0.196223,0.9255,109239,19898,346064,-0.749109,0.196223,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.672241,0.547729,0.845271
7VMQ21x6vDuAvoY6Ku2F,236,person,51922,0.987599035,CANONICAL_RLE,1,0,True,0.752715,0.508007,51383,7018,7557,-0.010381,0.752715,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.752715,0.0
7fuygdEv6dS4UyQgImYj,246,person,34718,0.985403533,CANONICAL_POLYGON,1,0,True,0.817316,0.91374,30898,1388,5208,-0.110029,0.817316,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.817316,0.0
7fuygdEv6dS4UyQgImYj,247,person,13374,0.977467262,CANONICAL_POLYGON,1,0,True,0.781551,0.378877,12699,1261,1936,-0.050471,0.781551,HIGH_QUALITY_MASK,UNATTRIBUTED,0.0,0.781551,0.0
7fuygdEv6dS4UyQgImYj,248,person,18350,0.979074361,CANONICAL_POLYGON,1,0,True,0.601282,0.953292,11871,523,7002,-0.353079,0.601282,MODERATE_MASK,UNDERSEGMENTATION,0.347466,0.625759,0.600686
7fuygdEv6dS4UyQgImYj,249,person,14175,0.969933566,CANONICAL_POLYGON,1,0,True,0.42148,0.816241,7703,1216,7688,-0.456578,0.42148,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.304198,0.585522,0.560874
7fuygdEv6dS4UyQgImYj,250,vest_on_body,6376,0.981036078,CANONICAL_POLYGON,1,0,True,0.631822,0.610431,4598,349,2127,-0.278858,0.631822,MODERATE_MASK,UNDERSEGMENTATION,1.0,0.631822,1.0
7fuygdEv6dS4UyQgImYj,251,vest_on_body,4312,0.976001811,CANONICAL_POLYGON,1,0,True,0.751758,0.635963,4904,949,357,0.137291,0.751758,HIGH_QUALITY_MASK,UNATTRIBUTED,1.0,0.751758,1.0
9uyGbpRuvoK6FWsiIhGx,304,helmet_on_head,9810,0.986789028,CANONICAL_POLYGON,1,0,True,0.933184,0.280491,10067,472,215,0.026198,0.933184,HIGH_QUALITY_MASK,UNATTRIBUTED,0.957594,0.933184,0.404651
9uyGbpRuvoK6FWsiIhGx,305,person,162561,0.992786729,CANONICAL_POLYGON,1,0,True,0.166617,0.93651,28994,1636,135203,-0.821642,0.166617,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.820221,0.862889,0.983299
9uyGbpRuvoK6FWsiIhGx,306,person,12222,0.971344424,CANONICAL_POLYGON,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
9uyGbpRuvoK6FWsiIhGx,307,vest_on_body,126229,0.993203937,CANONICAL_RLE,1,0,True,0.935528,0.911303,119885,927,7271,-0.050258,0.935528,HIGH_QUALITY_MASK,UNATTRIBUTED,0.981882,0.935528,0.878971
9xNY90loilCLVSX84iwp,308,person,1826170,0.998322598,CANONICAL_POLYGON,1,0,True,0.839591,0.975604,1554776,11709,283103,-0.148614,0.839591,HIGH_QUALITY_MASK,UNATTRIBUTED,0.157246,0.988257,0.995571
9xNY90loilCLVSX84iwp,309,helmet_on_head,291318,0.995927996,CANONICAL_POLYGON,1,0,True,0.967414,0.975965,287875,3075,6518,-0.011819,0.967414,HIGH_QUALITY_MASK,UNATTRIBUTED,0.98572,0.967414,0.880638
A2iSTnVfTHioOl73tkQd,310,helmet_on_head,9660,0.856887299,CANONICAL_RLE,1,1,False,0.0,,,,,,0.0,DETECTION_MISS,ADAPTER_FIDELITY_RISK,0.995445,0.0,
A2iSTnVfTHioOl73tkQd,311,person,17332,0.980647371,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
A2iSTnVfTHioOl73tkQd,312,person,22435,0.983205162,CANONICAL_RLE,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.0,0.0,
A2iSTnVfTHioOl73tkQd,313,person,61568,0.955764787,CANONICAL_RLE,4,1,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.156185,0.0,
Ai3fqVHdn3cSDpuEaa5l,317,person,116702,0.990028091,CANONICAL_POLYGON,1,0,True,0.913978,0.955888,124641,9393,1454,0.068028,0.913978,HIGH_QUALITY_MASK,UNATTRIBUTED,0.079896,0.858233,0.849381
Ai3fqVHdn3cSDpuEaa5l,318,helmet_on_head,9483,0.977814467,CANONICAL_POLYGON,1,0,True,0.86122,0.484811,9105,504,882,-0.039861,0.86122,HIGH_QUALITY_MASK,UNATTRIBUTED,0.983233,0.86122,0.93424
CDbWzCeakwV73xXd2qlq,348,person,249721,0.994110127,CANONICAL_POLYGON,1,0,True,0.543279,0.958212,140372,3048,112397,-0.437885,0.543279,MODERATE_MASK,UNDERSEGMENTATION,0.411487,0.893994,0.899134
CDbWzCeakwV73xXd2qlq,349,helmet_on_head,12583,0.982251759,CANONICAL_POLYGON,3,0,True,0.865899,0.932699,14327,1839,95,0.1386,0.865899,HIGH_QUALITY_MASK,UNATTRIBUTED,0.995788,0.865899,1.0
CDbWzCeakwV73xXd2qlq,350,vest_on_body,25923,0.991080998,CANONICAL_POLYGON,1,0,True,0.308559,0.805826,82851,57202,274,2.196042,0.308559,LOW_OVERLAP_MASK,OVERSEGMENTATION,0.992671,0.308559,0.357664
CDbWzCeakwV73xXd2qlq,351,vest_on_body,2069,0.960710945,CANONICAL_POLYGON,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,0.859836,0.0,
CDbWzCeakwV73xXd2qlq,352,vest_on_body,54639,0.992081797,CANONICAL_POLYGON,1,0,True,0.82137,0.458943,62670,9768,1737,0.146983,0.82137,HIGH_QUALITY_MASK,UNATTRIBUTED,0.982796,0.82137,0.933794
CDbWzCeakwV73xXd2qlq,353,vest_on_body,9387,0.971076094,CANONICAL_POLYGON,2,0,True,0.080402,0.367753,112908,103807,286,11.028124,0.080402,LOW_OVERLAP_MASK,OVERSEGMENTATION,0.960477,0.080402,0.954545
Dny3q3vJmCFOBIzhGir1,400,person,470161,0.995504376,CANONICAL_POLYGON,1,0,True,0.493222,0.933723,235679,2535,237017,-0.498727,0.493222,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.355212,0.309901,0.258808
Dny3q3vJmCFOBIzhGir1,401,helmet_on_head,167405,0.994947934,CANONICAL_POLYGON,1,0,True,0.817412,0.545641,139196,1297,29506,-0.168508,0.817412,HIGH_QUALITY_MASK,UNATTRIBUTED,0.997623,0.817412,0.99007
EdR5Rau43iqKaPKbjsHM,407,person,765000,0.996498254,CANONICAL_POLYGON,1,0,True,0.360315,0.899717,278941,2426,488485,-0.635371,0.360315,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.626356,0.903882,0.963755
EdR5Rau43iqKaPKbjsHM,408,vest_on_body,480923,0.996725176,CANONICAL_RLE,1,0,True,0.932922,0.943354,476946,14632,18609,-0.00827,0.932922,HIGH_QUALITY_MASK,UNATTRIBUTED,0.996338,0.932922,0.994519
F75mTbxKUV3DbBpuTvZq,409,vest_on_body,23950,0.944929753,CANONICAL_RLE,3,0,True,0.719473,0.840584,28095,6318,2173,0.173069,0.719473,MODERATE_MASK,BOUNDARY_ERROR,0.937996,0.719473,0.629084
